Blog	its	there	such	world	york	any	less	find	very	following	access	percent	results	are	few	stop	whole	happened	because	job	put	companies	try	early	movie	different	us	ever	car	president	morning	she	new	special	not	isn	about	view	go	side	house	having	from	set	news	trying	means	reading	since	took	only	through	high	big	though	please	another	called	our	want	right	found	thing	money	t	give	even	within	care	favorite	audio	day	won	thought	did	off	mean	often	today	step	com	his	who	everything	re	control	enough	much	take	think	more	donald	number	already	myself	interesting	up	version	say	be	game	online	make	ll	become	heard	now	based	hand	network	so	both	years	all	turn	book	lot	many	after	makes	thousands	playing	question	call	talk	use	let	man	also	nbsp	being	these	than	an	while	including	been	start	move	life	second	still	takes	least	their	have	feel	using	got	probably	which	reports	writing	away	actually	love	meet	follow	post	first	bad	community	days	we	important	million	report	six	u	them	case	may	tell	internet	drive	doesn	photo	real	m	went	again	facebook	close	time	list	security	show	around	tv	far	finally	people	everyone	watch	according	where	back	part	will	media	old	d	family	problem	when	huge	read	well	questions	those	or	outside	going	mark	what	top	help	check	content	goes	other	change	white	if	th	personal	thanks	link	said	person	american	most	line	too	wrote	point	out	google	things	am	one	your	never	used	know	ways	challenge	get	own	red	could	two	wanted	long	over	state	way	information	seen	likely	see	recently	support	service	play	always	water	months	place	during	better	was	data	social	business	great	would	need	yes	wrong	past	each	ve	shows	fact	app	related	before	america	look	some	something	music	they	photos	rather	year	stories	her	four	month	don	someone	gets	easy	by	blog	little	down	best	live	email	legal	keep	knowledge	soon	making	night	didn	ago	says	web	should	can	him	video	i	neutrality	clear	like	idea	process	started	yet	had	doing	future	no	under	but	project	as	every	done	me	once	might	team	full	working	same	hard	public	must	july	next	free	told	voice	times	order	black	here	end	city	good	e	claims	government	come	then	course	just	ask	twitter	how	does	into	three	were	company	seems	net	between	has	share	together	looking	against	home	made	later	run	design	week	amazon	left	my	really	last	he	trump	story	getting	word	save	do	anyone	behind	work	comes	bit	site	small	without	why	open
The Full Feed from HuffingtonPost.com	2	0	0	0	0	2	0	0	2	0	0	1	4	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	1	1	0	2	0	2	0	0	0	3	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	5	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	5	4	0	2	1	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	2	6	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	1	0	0	5	0	0	0	0	10	0	0	1	2	0	0	4	4	0	0	0	0	0	1	0	0	3	2	0	0	0	1	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	4	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	3	1	0	1	0	1	3	0	1	0	0	4	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	7	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Celebslam	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mezzoblue	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	1	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	4	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	1	1	0	0	0	1	0	3	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	3	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1	0	1	0	1	1	1	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	2	4	1	2	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	1	0	1	12	0	0	0	0	0	1	1	0	1	0	1	0	4	1	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0
Lifehacker	3	2	0	2	3	1	1	0	3	0	0	0	0	10	0	2	0	0	1	2	1	0	0	0	0	1	2	0	0	0	0	0	6	0	8	2	1	0	2	0	1	2	4	0	2	0	0	0	1	1	3	0	1	0	0	0	0	0	2	4	3	2	1	1	10	0	1	1	3	2	2	3	0	0	0	1	0	0	3	0	0	1	11	0	7	1	1	1	2	1	38	0	0	1	0	0	6	0	0	2	0	0	0	2	1	0	2	1	1	0	2	1	3	0	0	0	1	0	0	1	1	0	0	0	1	4	1	3	2	0	2	2	4	3	4	0	1	0	2	1	0	0	0	3	4	9	1	2	1	2	2	0	0	1	1	0	0	0	0	1	1	0	1	3	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	0	5	0	0	1	3	5	1	1	7	2	2	1	1	5	1	0	1	0	0	0	0	4	3	25	0	0	5	4	0	1	0	1	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	1	3	0	1	0	0	4	0	2	0	9	13	0	0	3	0	1	10	1	0	0	0	0	0	3	2	0	0	2	3	1	0	0	0	0	1	0	0	0	1	1	3	1	1	0	2	1	3	0	0	1	0	2	0	0	0	0	0	3	0	7	1	0	2	0	1	1	0	2	0	0	4	0	2	0	0	0	2	0	3	0	0	0	2	0	0	1	0	1	1	4	1	2	7	0	1	6	0	0	7	0	0	0	0	1	2	0	3	2	9	0	5	1	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	4	2	0	2	2	0	0	0	1	0	1	4	0	0	11	1	4	0	1	0	2	0	0	5	0	0	1	0	1	1	0	0	0	2	0	0	1	1	0	3	0	0	2	0	0	3	0	0	2	1	0	2	0	3	1	0
The Official Google Blog	9	15	8	18	2	8	0	12	2	0	23	15	3	50	8	0	1	2	6	1	1	9	0	7	2	5	14	4	0	0	0	3	35	0	12	1	30	11	3	2	1	2	56	7	24	1	2	0	6	1	4	24	5	2	0	0	1	0	56	5	3	0	1	1	11	5	11	3	2	0	6	3	1	1	5	3	2	2	24	3	2	4	12	5	47	4	1	4	6	3	57	0	3	6	0	1	14	5	1	18	5	21	13	13	2	2	12	12	1	5	19	3	10	19	2	0	1	18	6	5	3	3	0	3	0	15	2	0	25	0	4	28	26	30	6	8	10	3	0	2	1	2	2	1	39	34	4	7	0	1	15	2	0	0	2	1	4	1	5	13	0	16	3	127	11	7	7	3	3	6	3	5	2	14	4	0	2	4	4	0	0	0	0	10	3	9	3	10	1	2	1	21	8	2	1	5	5	4	19	6	1	14	0	0	21	0	3	7	4	10	41	2	0	1	21	4	15	12	20	0	11	1	1	11	1	2	3	1	0	2	0	13	3	4	0	4	16	62	4	2	11	36	0	3	5	5	4	12	8	0	9	10	5	2	6	3	11	19	4	0	9	3	11	1	3	2	5	0	11	0	7	10	34	1	7	3	5	7	0	1	1	2	12	4	18	12	3	1	0	1	12	1	1	19	10	2	2	12	1	0	1	4	0	0	3	50	3	1	4	5	4	4	2	7	3	2	9	0	0	4	0	7	1	49	0	6	2	5	1	24	2	4	3	1	2	1	7	6	1	17	7	42	3	0	2	3	6	8	3	6	1	0	7	0	3	5	7	3	1	0	1	0	11	2	2	0	1	2	1	3	4	1	13	1	1	27	2	20	5	3	2	1	5	8	18	19	8	1	3	7	6	0	4	3	2	11	0	0	2	4	3	0	3	1	0	0	7	4	3	14	3	1	0	1	2	5	22
ThinkProgress - Medium	11	16	3	8	2	9	3	2	6	0	3	4	0	63	4	0	1	0	12	1	3	2	1	2	0	4	5	2	0	21	1	10	14	0	31	2	18	0	3	1	13	1	42	8	10	5	2	1	3	2	9	7	3	1	3	0	1	7	9	10	5	4	0	5	29	1	9	2	12	0	0	4	5	0	8	1	1	4	5	2	0	24	41	1	6	1	1	2	7	13	14	6	6	4	0	0	15	0	6	26	1	0	4	0	5	0	4	0	2	3	12	5	6	8	0	0	0	7	17	1	0	5	4	0	3	0	1	0	18	0	12	5	12	37	1	4	21	2	5	0	2	9	1	4	24	43	3	1	0	1	26	0	0	6	4	2	0	0	1	8	0	2	4	23	4	15	3	3	24	11	6	5	1	0	0	3	12	0	4	6	2	1	2	12	1	8	2	3	0	2	1	27	2	0	9	14	6	3	13	2	1	10	3	3	13	0	1	4	3	5	21	0	3	2	12	0	4	0	0	2	8	3	9	33	1	2	0	0	23	2	6	9	2	0	4	3	15	0	2	2	19	2	3	5	4	2	2	10	7	1	17	11	6	5	5	33	9	6	0	5	5	1	5	1	7	2	0	5	1	9	3	42	19	2	0	1	30	0	0	1	2	1	3	0	2	0	3	6	4	4	6	1	0	32	0	4	11	0	7	3	6	9	1	2	0	41	0	2	2	3	1	2	4	4	2	1	3	0	3	1	0	0	8	5	4	1	26	0	3	9	1	4	0	1	21	1	3	13	13	24	3	41	1	1	3	2	2	0	1	1	2	2	4	0	5	2	0	23	1	2	7	1	4	1	3	1	5	2	15	6	7	3	14	3	5	5	3	6	6	18	2	0	0	4	38	1	1	1	7	1	2	6	2	0	14	1	4	3	8	11	32	70	10	5	1	0	5	1	3	5	3	0	0	0	5	5	7
The Write News	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	5	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	15	12	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	3	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	4	0	1	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	12	0	0	2	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deadspin	0	0	0	0	2	1	0	1	0	0	0	0	0	5	0	1	0	0	2	0	1	0	0	0	0	0	1	2	0	0	0	2	7	0	4	0	3	2	0	0	0	1	7	0	0	0	0	0	1	1	2	0	0	1	1	0	0	0	0	0	2	1	0	3	4	1	3	0	0	2	2	1	1	0	1	0	0	1	4	0	1	9	4	1	2	0	0	0	1	1	32	1	1	2	0	0	4	0	0	3	1	1	0	0	0	0	7	0	0	0	1	0	3	5	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1	3	10	1	1	2	0	0	0	0	1	0	1	4	3	0	1	1	0	3	0	2	4	0	0	1	0	0	4	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	2	2	1	0	1	0	0	1	0	1	3	3	1	0	1	0	0	0	2	2	25	0	0	1	2	0	0	0	0	0	0	0	0	2	1	1	3	3	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	6	5	0	0	0	0	0	2	0	1	1	1	0	0	1	0	0	2	1	0	0	1	1	0	2	0	0	0	0	2	0	13	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	1	0	0	2	1	0	4	0	0	1	0	1	0	0	2	0	0	1	7	0	0	2	4	0	1	0	0	0	0	1	2	0	0	3	0	0	2	3	1	0	0	0	1	0	0	0	0	2	0	1	3	1	7	0	4	1	2	1	0	0	7	0	1	0	0	0	1	0	0	2	0	1	2	2	1	2	0	1	2	0	1	1	0	1	0	3	0	2	2	0	1	0	2	0	0	0	1	7	0	0	1	2	1	0	0	0	0	0	2	0	0	0	3	10	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
Gizmodo	5	2	0	3	1	0	0	0	1	0	0	0	0	5	1	1	1	0	1	0	0	0	0	1	2	0	4	0	1	2	0	0	5	0	4	0	6	0	0	0	2	2	4	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0	2	2	0	0	5	1	4	0	1	0	4	1	1	0	2	2	0	1	4	0	0	3	1	2	3	0	0	2	1	4	32	2	0	1	0	0	4	1	0	6	2	0	0	0	0	2	3	0	2	0	2	1	6	5	1	0	0	1	2	1	0	0	1	0	1	2	0	2	1	0	2	1	2	12	1	0	1	0	0	0	1	1	0	0	4	3	0	2	1	3	3	0	0	1	1	0	1	0	0	3	1	0	0	6	0	4	1	0	0	2	2	1	0	1	0	1	0	3	0	0	0	1	2	0	0	0	4	2	2	0	2	4	0	2	1	0	6	2	0	0	0	2	3	1	0	1	25	0	0	2	4	0	2	1	5	0	0	0	0	0	5	0	0	3	0	0	0	0	1	0	2	6	1	0	0	0	3	0	2	0	4	3	0	1	1	0	0	6	0	2	3	0	0	0	2	0	2	3	0	1	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	3	0	4	0	0	0	0	0	0	1	0	0	1	1	1	5	1	0	6	0	1	2	0	3	0	0	0	0	0	1	9	0	0	2	5	0	1	0	0	0	1	0	0	0	0	4	0	0	2	2	1	1	0	1	4	0	1	0	2	1	1	0	2	1	9	0	10	0	1	0	0	0	1	1	0	1	2	0	0	0	2	2	0	2	1	1	4	3	1	0	0	0	2	2	1	0	0	5	0	3	4	0	3	0	3	4	0	0	1	10	0	0	0	0	0	0	0	0	0	4	2	1	0	5	1	7	5	3	0	0	0	3	0	1	0	0	1	0	0	0	1	0
Engadget RSS Feed	9	1	0	0	2	1	0	0	1	0	1	2	0	1	2	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	2	0	5	0	3	0	4	0	3	0	0	1	4	0	1	0	2	0	1	2	2	0	0	1	3	0	1	1	0	0	1	2	0	0	7	0	1	0	0	0	1	2	1	0	0	0	0	0	1	0	0	2	3	0	5	2	0	1	0	1	4	0	0	1	0	0	2	0	0	7	3	2	2	1	0	0	7	2	0	1	3	0	4	4	0	0	0	0	2	1	1	1	0	0	0	1	0	1	1	0	0	0	2	6	3	0	3	2	1	1	2	1	0	0	1	10	0	2	0	0	2	0	0	1	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	1	0	1	0	3	2	1	0	0	0	0	0	0	2	3	0	0	1	1	4	1	1	0	1	0	0	0	7	2	6	0	0	5	1	0	0	0	0	1	0	1	4	0	1	0	4	0	1	0	0	0	0	0	0	3	3	0	2	2	0	0	0	0	0	0	0	0	3	10	0	1	2	8	0	2	1	0	0	3	0	2	3	3	1	1	3	0	0	0	1	0	0	1	1	0	4	1	0	0	1	1	0	5	3	0	0	2	2	0	0	0	1	0	3	0	0	3	0	2	0	2	1	0	5	1	1	0	2	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	6	0	3	0	3	1	4	0	0	2	0	2	0	1	1	0	2	2	10	1	0	0	0	2	0	0	0	0	0	0	1	4	4	3	0	3	0	0	0	0	1	2	2	2	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	4	1	8	1	0	0	0	2	1	2	0	0	0	3	0	0	0	2	1	0	0	0	0	2	1	0	0	1	0	3	0	0	0	0	1
Eschaton	0	4	0	3	1	3	1	2	4	0	0	1	0	16	2	2	0	0	6	0	0	3	1	1	1	1	1	0	0	3	2	2	1	0	5	2	14	0	2	0	5	1	2	1	0	5	0	0	0	1	1	3	3	0	1	0	2	0	0	1	0	0	5	2	14	0	5	0	0	0	0	0	1	0	0	0	2	2	1	1	1	5	11	2	6	0	0	0	1	4	7	4	0	1	0	0	7	0	2	6	0	0	2	0	1	0	2	0	0	1	8	0	0	14	0	0	1	1	3	2	0	0	0	0	0	1	1	0	3	0	1	5	6	4	1	1	2	1	0	0	0	2	0	0	6	5	1	4	1	1	4	1	0	0	1	0	0	0	0	5	2	0	3	6	0	1	0	0	1	4	0	0	1	0	0	1	0	1	2	1	0	3	2	2	3	4	1	0	0	1	0	21	3	0	4	1	1	2	2	3	0	0	1	1	4	0	2	1	0	1	9	1	1	0	9	2	0	1	0	0	3	0	6	7	1	0	0	0	3	1	0	2	1	3	1	0	2	0	1	1	7	3	2	0	3	1	1	5	2	1	1	0	0	0	4	2	1	1	1	1	1	1	0	1	0	1	0	0	1	0	2	9	3	3	1	0	2	1	0	2	0	2	3	0	0	3	3	3	2	0	1	2	0	11	0	0	4	1	0	1	1	7	2	1	1	2	0	0	1	0	2	2	3	0	1	1	2	1	2	0	1	0	3	2	1	0	17	0	0	3	2	0	0	0	1	1	0	3	0	13	0	11	1	0	1	0	2	3	0	0	2	1	1	0	2	2	1	0	0	1	0	2	2	0	0	1	0	0	2	0	5	3	9	0	1	3	2	3	3	5	2	0	0	0	3	0	0	1	5	0	0	1	4	0	1	0	0	6	3	2	8	7	1	0	0	0	2	2	0	1	0	4	1	0	1	1	2
Slashdot	17	5	1	6	2	2	1	1	0	2	5	3	1	19	4	3	1	0	2	0	0	5	0	0	0	2	1	1	5	0	0	0	7	0	7	1	15	2	2	1	0	1	21	1	0	1	1	2	2	0	3	2	0	1	1	0	0	4	1	1	0	3	0	3	13	2	2	2	0	2	1	0	2	0	0	0	0	0	3	2	0	9	5	0	5	1	0	1	1	1	24	0	2	0	1	1	7	0	1	12	0	1	4	2	0	2	6	2	0	3	7	3	6	5	0	0	0	4	3	0	1	1	0	0	2	1	0	0	5	0	3	4	5	16	7	3	7	0	0	0	0	1	1	0	7	10	0	4	0	1	8	4	0	0	0	0	3	1	0	13	0	0	1	4	0	6	10	1	0	4	0	6	0	7	0	0	0	1	1	0	0	2	3	2	1	1	0	3	1	2	0	8	0	0	2	1	4	4	7	0	2	1	0	0	5	1	21	1	0	1	9	0	0	2	5	0	0	1	1	1	4	3	0	13	1	2	0	1	9	1	0	2	0	1	1	0	4	14	2	1	8	7	1	1	2	0	1	2	1	1	7	5	0	2	7	0	0	4	0	0	1	1	0	1	2	0	0	1	0	1	0	9	3	1	2	1	0	0	0	0	4	0	0	1	1	0	0	0	1	0	3	1	0	6	4	0	4	0	0	0	2	1	0	0	2	20	0	2	4	0	0	0	4	2	0	0	0	0	1	2	6	2	0	12	1	0	18	13	2	5	0	3	2	0	0	1	1	5	3	8	0	21	2	0	0	0	0	2	3	1	0	0	3	0	1	1	3	2	1	6	3	0	3	1	0	0	0	2	3	0	1	0	2	1	1	7	0	1	6	4	9	0	14	1	19	2	1	0	2	1	0	2	0	0	0	6	0	0	0	1	10	1	15	0	0	1	4	1	0	1	2	0	0	1	1	1	4
Google Operating System	3	7	1	2	0	3	0	1	2	0	1	0	9	11	1	1	0	0	2	0	0	0	3	1	2	9	0	0	0	0	0	0	24	3	7	0	10	1	7	0	0	0	22	1	1	0	1	0	2	0	10	0	4	0	1	0	4	4	2	3	1	4	0	0	10	0	4	1	1	2	0	3	1	0	3	2	0	1	1	0	2	0	1	0	3	1	0	2	1	0	14	0	0	1	0	3	5	3	0	16	2	0	2	7	2	0	16	1	0	3	6	2	0	3	5	0	1	4	2	2	0	2	3	0	0	7	1	2	9	11	0	3	5	13	5	4	2	1	1	2	0	5	0	0	3	3	1	5	0	1	12	1	0	0	1	0	1	0	1	5	0	1	0	8	2	0	0	0	0	3	0	1	0	1	1	2	2	1	3	0	2	0	0	1	7	2	2	2	2	0	0	2	2	0	2	1	4	0	13	0	4	1	0	0	15	1	1	2	1	3	27	0	1	0	4	1	1	1	2	0	9	3	0	11	1	0	0	2	0	0	0	3	1	0	0	3	7	108	1	0	8	20	2	0	4	1	1	15	2	0	0	0	0	5	1	0	1	1	0	0	4	2	2	0	4	1	1	0	3	0	1	6	1	0	0	1	0	2	0	0	0	4	5	18	1	9	12	0	0	3	6	2	0	6	6	0	2	0	0	0	1	3	0	1	1	10	2	1	5	1	2	1	0	1	3	1	0	2	0	0	0	3	1	23	0	3	13	0	2	17	0	0	2	0	2	0	0	6	0	7	0	11	1	0	1	0	0	1	2	0	3	0	1	1	0	5	1	0	1	0	0	0	7	1	0	0	0	0	0	0	3	0	4	1	0	0	0	3	0	0	0	1	0	4	16	3	0	0	1	6	0	1	0	1	0	0	2	3	1	1	0	0	0	0	1	0	1	0	0	0	1	0	4	0	0	1	4
Derek Powazek	1	7	0	3	0	0	1	1	1	1	0	0	0	11	5	0	0	0	3	1	1	0	1	1	0	0	4	1	1	0	2	7	5	2	6	0	9	0	4	0	0	0	5	0	1	0	0	4	1	3	1	1	1	1	0	0	3	0	3	1	4	1	4	3	10	0	1	0	0	0	0	2	0	1	4	1	0	2	2	0	1	3	1	2	7	0	5	1	1	4	6	0	1	1	0	0	11	0	3	7	0	2	1	4	0	0	10	0	1	1	7	2	5	10	0	6	1	1	4	0	0	0	0	1	3	0	1	1	2	0	0	2	2	5	1	0	8	0	0	5	0	4	0	0	4	3	5	1	1	1	2	0	2	1	0	1	0	1	3	3	3	3	4	7	0	0	0	2	0	2	0	0	0	1	0	0	0	0	12	3	2	0	1	4	0	0	3	1	0	0	0	2	1	1	0	0	2	2	5	2	2	2	1	0	11	0	0	2	1	1	5	1	4	0	9	2	0	0	1	2	3	1	1	9	0	0	0	2	3	0	0	2	0	2	1	0	9	0	1	3	13	6	3	1	6	1	0	6	2	0	1	9	0	1	5	0	0	0	1	0	3	0	0	0	0	4	0	2	0	0	0	13	0	0	1	5	0	1	1	1	0	1	11	0	0	0	0	1	0	0	3	8	0	6	2	0	4	1	9	0	0	4	0	2	2	5	1	7	2	1	2	0	0	0	0	1	0	2	1	2	0	1	1	8	2	0	69	0	1	9	0	1	2	1	3	1	0	2	1	14	0	10	3	1	15	2	1	0	1	0	3	3	0	1	0	1	0	0	0	1	0	1	6	0	0	1	0	0	0	3	7	1	11	1	1	7	0	4	4	2	1	0	0	4	5	1	1	1	1	0	2	1	0	1	3	0	1	22	2	7	5	0	3	2	3	0	7	0	0	3	1	0	2	2	0	1	1
Copyblogger	0	0	0	0	0	0	0	2	0	0	0	1	1	4	1	2	0	0	1	0	0	0	1	1	0	0	2	1	0	0	0	0	3	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	2	0	0	1	0	3	0	2	0	0	0	4	2	0	0	0	1	0	0	2	0	0	2	2	0	5	0	0	0	0	0	17	0	2	0	1	0	2	0	1	1	0	0	2	1	0	0	3	0	0	0	1	1	2	5	0	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	1	2	4	3	1	0	0	1	2	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	1	0	0	0	10	11	0	0	1	9	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	5	0	10	0	0	1	6	0	0	0	2	1	1	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	7	14	1	0	0	4	5	2	2	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	2	3	3	0	0	0	1	2	0	0	1	0	0	0	0	1	1	1	1	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	2	0	1	12	0	0	0	1	0	2	4	1	0	0	4	0	1	0	1	1	1	0	2	1	0	0	2	1	0	0	0	5	0	1	0	0	1	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	1	0	0	2	0	0	1	2	0	5	0	0	1	3	0	1	0	0	0	0	0	0	0	2	1	0
